Frac	Delay	Mean	Mean_sigma	FWHM	FWHM_sigma	Kurtosis	Kurtosis_sigma
0.1	1	136658	241.693	33084	14511.2	0.387677	0.0315401
0.1	1.25	130169	299.75	45072	19969.9	-0.236854	0.0316703
0.1	1.5	129781	302.937	44100	18458.3	-0.264148	0.0316551
0.1	1.75	125875	311.049	43092	20342.6	-0.325786	0.0316439
0.1	2	121847	334.378	25092	10887.7	-0.510318	0.0315101
0.1	2.25	128779	295.554	54504	29136.4	0.655792	0.0317474
0.1	2.5	147556	207.12	11376	2789.32	4.00246	0.0315617
0.1	2.75	157101	112.956	12096	2473.46	22.8468	0.031473
0.1	3	159607	60.5745	12024	2097.08	61.7469	0.0314477
0.1	3.25	159775	53.7548	11700	2102.95	65.2215	0.031447
0.1	3.5	159854	50.9627	13608	1469.99	58.9378	0.0314457
0.1	3.75	159878	50.896	13644	2227.45	59.1286	0.0314457
0.1	4	159921	49.7947	12780	1753.93	53.7073	0.0314451
0.1	4.25	159933	49.6818	11772	951.79	53.7488	0.0314451
0.1	4.5	159945	49.6915	10260	1245.17	53.8745	0.0314451
0.1	4.75	159945	49.6624	9864	1262.57	53.746	0.0314451
0.1	5	159967	50.0625	11340	1161.9	56.0519	0.0314451
0.1	5.25	159958	49.6425	11196	1055.93	46.9547	0.0314457
0.1	5.5	159960	49.6535	11376	1152.75	47.0693	0.0314457
0.1	5.75	159960	49.6839	12708	1341.37	47.3103	0.0314457
0.1	6	159963	49.5593	12276	1490.27	47.1215	0.0314457
0.1	6.25	159957	49.6083	12348	1517.28	47.1382	0.0314457
0.1	6.5	159951	49.6977	13500	1867.03	47.5122	0.0314457
0.1	6.75	159946	49.7136	13212	1134.05	47.6754	0.0314457
0.1	7	159944	49.599	12960	1381.82	47.5428	0.0314457
0.1	7.25	159933	49.6479	12924	1639.35	47.5699	0.0314457
0.1	7.5	159923	49.7376	13320	1499.09	47.9323	0.0314457
0.1	7.75	159910	49.5691	13356	1484.46	47.4575	0.0314457
0.1	8	159906	49.4549	13824	1480.24	47.3364	0.0314457
0.1	8.25	159894	49.5054	13680	1301.65	47.3901	0.0314457
0.1	8.5	159885	49.5959	11304	1632.62	47.7665	0.0314457
0.1	8.75	159876	49.6064	13500	1602.57	47.8707	0.0314457
0.1	9	159876	49.5701	11484	1660.82	47.7177	0.0314457
0.1	9.25	159865	49.6981	13392	1266.33	48.0328	0.0314457
0.1	9.5	159859	49.7074	14580	1181.07	48.1458	0.0314457
0.1	9.75	159854	49.7181	12636	1205.69	48.2959	0.0314457
0.1	10	159854	49.6122	13428	1598.79	48.2636	0.0314457
0.2	1	136246	248.014	22068	9576.83	0.355568	0.0315407
0.2	1.25	121715	319.124	37080	15188.1	-0.280793	0.031628
0.2	1.5	124066	289.766	53208	28295.6	-0.860952	0.0315003
0.2	1.75	153552	155.515	9216	3838.91	8.70128	0.0314613
0.2	2	159667	60.4614	10764	2499.43	62.7127	0.0314464
0.2	2.25	159846	51.8174	11484	1216.39	68.1076	0.031447
0.2	2.5	159918	50.7798	13140	1747.02	62.1919	0.0314457
0.2	2.75	159954	50.2399	14616	1627.32	61.4969	0.0314457
0.2	3	159976	50.4458	14652	1500.67	61.8332	0.0314451
0.2	3.25	160004	50.2098	13788	1165.61	61.4778	0.0314464
0.2	3.5	160019	50.2115	14184	1413.66	61.4911	0.0314464
0.2	3.75	160030	50.217	13680	1493.31	61.5413	0.0314464
0.2	4	160030	50.5007	12960	1629.7	61.8192	0.0314451
0.2	4.25	160046	49.9857	13716	1197.78	57.1581	0.0314464
0.2	4.5	160050	49.9761	12780	1081	56.7031	0.0314464
0.2	4.75	160053	49.9799	12708	1358.65	56.6995	0.0314464
0.2	5	160055	49.8451	12132	1317.98	55.5859	0.0314457
0.2	5.25	160053	49.9883	12564	1455.07	56.7279	0.0314464
0.2	5.5	160052	49.9908	11808	1357.22	56.7379	0.0314464
0.2	5.75	160054	49.8256	13536	1262.57	56.4462	0.031447
0.2	6	160040	50.346	12024	1589.72	61.3685	0.0314457
0.2	6.25	160046	49.8307	12024	1589.72	56.5583	0.031447
0.2	6.5	160041	49.8338	12528	1841.52	56.6437	0.031447
0.2	6.75	160035	49.8378	13968	1524.52	56.7011	0.031447
0.2	7	160021	50.4038	13212	1192.72	61.5157	0.0314457
0.2	7.25	160022	49.8471	11880	1276.18	56.8454	0.031447
0.2	7.5	160015	49.8534	11808	1222.59	56.9254	0.031447
0.2	7.75	160009	49.8599	11808	1459.37	57.036	0.031447
0.2	8	159992	50.4752	13032	1738.22	62.4656	0.0314457
