ELow	ETop	Mean	Mean_sigma	Var	Var_sigma	Kurtosis	Kurtosis_sigma
50	600	160.15	0.013744	9.59774	0.00109217	182.383	0.276725
100	600	160.133	0.0144719	9.62709	0.00986331	189.293	0.836534
150	600	160.107	0.015770	9.64406	0.00721003	192.812	0.667386
200	600	160.097	0.0175516	9.78265	0.000214912	192.668	0.349775
250	600	160.088	0.0201353	10.0084	0.00882992	190.502	0.786027
300	600	160.096	0.0251598	10.5066	0.0106737	190.925	0.914664
350	600	160.066	0.0407772	12.0671	0.0195887	174.759	1.30118
50	150	160.281	0.0284515	9.59217	0.0134069	146.435	0.945745
100	250	160.183	0.0206877	9.1462	0.00178359	181.952	0.441055
150	350	160.119	0.0165474	8.85578	0.00827173	180.886	0.768164
200	450	160.094	0.0164921	9.06035	5.08769e-05	186.431	0.342996
250	550	160.093	0.0198147	9.82751	0.00953647	194.594	0.86427
