Frac	Delay	Mean	Mean_sigma	FWHM	FWHM_sigma	Kurtosis	Kurtosis_sigma
0.25	2	160061	45.298	11160	2176.34	49.7551	0.0293716
0.25	2.5	160108	44.1969	12744	1747.14	42.6182	0.0293731
0.25	3	160134	44.8792	12348	1605.27	50.368	0.0293716
0.25	3.5	160180	44.5183	13500	1310.09	56.5479	0.0293731
0.25	4	160186	44.8322	12168	1531.02	60.2605	0.0293726
0.25	4.5	160210	44.8008	12096	1503.69	68.8685	0.0293737
0.25	5	160201	45.4536	10728	2034.98	75.6632	0.0293721
0.25	5.5	160208	44.8381	13284	1163.38	69.1125	0.0293731
0.25	6	160203	44.7404	13716	1224.18	68.6606	0.0293731
0.25	6.5	160193	44.7392	12600	1499.09	68.5409	0.0293731
0.25	7	160179	45.842	11484	1771.58	86.1275	0.0293716
0.5	2	160217	44.7587	12204	1384.48	48.4283	0.0293705
0.5	2.5	160241	44.3374	12024	1304.64	45.8339	0.0293721
0.5	3	160259	44.1672	12492	1690.21	41.6205	0.0293705
0.5	3.5	160276	44.2904	12672	1389.31	54.0507	0.0293726
0.5	4	160276	44.3372	13428	1280.07	53.8836	0.0293716
0.5	4.5	160272	44.2984	13680	1482.86	54.0167	0.0293726
0.5	5	160263	44.6182	12168	1506.27	55.1532	0.0293705
0.5	5.5	160262	44.9271	12204	1522.39	67.4623	0.0293721
0.5	6	160256	44.7514	12348	1163.38	66.1871	0.029371
0.5	6.5	160252	45.0934	12276	1522.39	74.8704	0.0293721
0.5	7	160243	45.7367	12960	1267.01	82.7193	0.0293705
0.75	2	160310	44.1638	12708	1402.46	39.5295	0.0293705
0.75	2.5	160317	44.0069	13536	1511.71	38.8325	0.0293705
0.75	3	160318	44.1024	12168	1720.23	39.5272	0.0293705
0.75	3.5	160326	44.4761	13032	1443	50.2272	0.029371
0.75	4	160321	44.5297	13356	1143.15	53.9308	0.0293716
0.75	4.5	160312	44.527	12708	1310.09	53.6138	0.0293705
0.75	5	160303	44.8054	12024	1591.08	54.7231	0.02937
0.75	5.5	160291	44.7817	12960	1147.87	54.7911	0.02937
0.75	6	160296	44.9547	12924	1718.1	65.2579	0.02937
0.75	6.5	160282	44.5702	12024	1443	53.1357	0.02937
0.75	7	160274	44.4756	12852	1280.74	51.9544	0.02937
