0.3	0.06
0.4	0.08
0.5	0.1
0.6	0.14
0.7	
0.8	0.2
0.9	0.25
1	0.32
1.1	0.34
1.2	0.49
1.3	0.55
1.4	0.65
1.5	0.85
1.6	
1.7	1.01
1.8	1.24
1.9	1.33
2	
2.1	1.51
2.2	
2.3	1.82
2.4	1.97
2.5	2.26
2.6	
2.7	2.45
2.8	2.68
2.9	2.86
3	3
3.1	3.16
3.2	
3.3	3.58
3.4	
3.5	
3.6	4.22
3.7	
3.8	4.53
3.9	4.85
4	4.99
4.1	5.31
4.2	5.47
4.3	
4.4	5.9
4.5	6.13
4.6	
4.7	
4.8	6.8
4.9	
5	7.33
5.1	
5.2	7.77
5.3	8.15
5.4	
5.5	8.77
5.6	
5.7	9.22
5.8	
5.9	9.87
6	10.14
6.1	10.63
6.2	
6.3	11.03
6.4	11.31
6.5	11.61
