0	0	0.1
1	0	0.1
2	0	0.1
3	0	0.1
4	0	0.1
5	0	0.1
6	0	0.1
7	0	0.1
8	0	0.1
9	0	0.1
10	0.1	0.1
11	0.1	0.1
12	0.1	0.1
13	0.1	0.1
14	0.1	0.1
15	0.1	0.1
15.5	0.1	0.1
16	0.1	0.1
16.5	0.1	0.1
17	0.2	0.1
17.1	0.2	0.1
17.2	0.3	0.1
17.3	1.7	0.1
17.4	2.3	0.1
17.5	2.9	0.1
17.6	3.6	0.1
17.7	5	0.1
17.8	5.8	0.1
17.9	6.5	0.1
18	7.2	0.1
18.1	8.9	0.1
18.2	10	0.1
18.3	11.5	0.1
18.4	12.8	0.1
18.5	236	1
18.6	246	1
18.7	247	1
18.8	256	1
18.9	260	1
19	264	1
19.5	283	1
20	303	1
21	337	1
22	363	1
23	400	1
24	434	1
25	471	1
26	512	1
27	552	1
28	583	1
29	608	1
30	632	1
32	662	1
34	687	1
36	703	1
38	714	1
40	721	1
45	737	1
50	750	1
55	767	1
60	780	1
65	795	1
70	810	1
75	825	1
80	840	1
85	855	1
90	873	1
95	890	1
100	906	1
