2	0	0.1
4	0	0.1
6	0	0.1
8	0	0.1
10	0	0.1
12	0.1	0.1
14	0.1	0.1
15	0.1	0.1
16	0.1	0.1
16.5	1.3	0.1
17	1.8	0.1
17.1	8.6	0.1
17.2	11.1	0.1
17.3	12.5	0.1
17.4	15.7	0.1
17.5	21	0.1
17.6	31.9	0.1
17.7	25.1	0.1
17.8	28.8	0.1
17.9	31.1	0.1
18	34.7	0.1
18.1	37.9	0.1
18.2	316	1
18.3	323	1
18.4	329	1
18.5	338	1
18.6	347	1
18.7	355	1
18.8	364	1
18.9	371	1
19	377	1
19.5	416	1
20	460	1
20.5	512	1
21	565	1
21.5	599	1
22	637	1
22.5	675	1
23	698	1
24	750	1
25	786	1
26	812	1
27	826	1
28	842	1
29	850	1
30	860	1
32	862	1
34	891	1
36	905	1
38	923	1
40	936	1
45	975	1
50	1019	1
55	1060	1
60	1104	1
65	1151	1
70	1203	1
75	1260	1
80	1326	1
85	1394	1
90	1480	1
95	1580	1
100	1720	1
