2	0	0.1
4	0	0.1
6	0	0.1
8	0	0.1
10	0	0.1
12	0	0.1
14	0.1	0.1
15	0.1	0.1
15.5	0.1	0.1
16	0.1	0.1
16.5	2.8	0.1
16.6	4	0.1
16.7	5.6	0.1
16.8	7.3	0.1
16.9	9.3	0.1
17	11.5	0.1
17.1	14.4	0.1
17.2	18	0.1
17.3	21.5	0.1
17.4	24.9	0.1
17.5	27.4	0.1
17.6		0.1
17.7		0.1
17.8	37.8	0.1
17.9	40.7	0.1
18	41.1	0.1
18.1	43.4	0.1
18.2	45.6	0.1
18.3	48.3	0.1
18.4	50.3	0.1
18.5	52.1	0.1
18.6	66.6	0.1
18.7	68.2	0.1
18.8	70.6	0.1
18.9	71.7	0.1
19	72.7	0.1
19.1	74	0.1
19.2	75.2	0.1
19.3	76.1	0.1
19.4	77	0.1
19.5	77.9	0.1
19.6	78.6	0.1
19.7	78.9	0.1
19.8	80.1	0.1
19.9	80.6	0.1
20	81.7	0.1
20.1	82.9	0.1
20.2	84.7	0.1
20.3	85.6	0.1
20.4	87.1	0.1
20.5	87.9	0.1
20.6	89.7	0.1
20.7	102.5	0.1
20.8	103.3	0.1
20.9	105.1	0.1
21	106	0.1
21.1	105.6	0.1
21.2	95.1	0.1
21.3	97.3	0.1
21.4	715	1
21.5	716	1
21.6	716	1
21.7	716	1
21.8	717	1
21.9	716	1
22	717	1
22.2	716	1
22.4	717	1
22.6	718	1
22.8	720	1
23	723	1
23.5	729	1
24	735	1
24.5	741	1
25	747	1
26	758	1
27	772	1
28	784	1
29	797	1
30	807	1
32	837	1
34	862	1
36	892	1
38	921	1
40	951	1
45	1039	1
50	1130	1
55	1243	1
60	1370	1
65	1548	1
70	1750	1
75	2070	10
80	2057	10
